date,atm_id,atm_city,total_balance,income_txn_count,outcome_txn_count,total_income,total_outcome,total_txn_count,withdrawals_usd,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_pct_change_1d,btc_7d_roc,btc_7d_ma,btc_volatility_7d,day_of_week,is_weekend,payday_flag,y_tomorrow
2020-01-01,atm35000100,Izmir,27945,509,663,33450,41795,1172,41795,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,44835.0
2020-01-02,atm35000100,Izmir,12190,522,697,35030,44835,1219,44835,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,37980.0
2020-01-03,atm35000100,Izmir,6635,550,586,34800,37980,1136,37980,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,46250.0
2020-01-04,atm35000100,Izmir,24065,441,693,26510,46250,1134,46250,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,40350.0
2020-01-05,atm35000100,Izmir,15005,608,648,36855,40350,1256,40350,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,39820.0
2020-01-06,atm35000100,Izmir,37645,526,662,31580,39820,1188,39820,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,42715.0
2020-01-07,atm35000100,Izmir,16850,512,664,34305,42715,1176,42715,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000101,Izmir,34045,529,607,34340,41815,1136,41815,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,45020.0
2020-01-02,atm35000101,Izmir,17990,431,653,29315,45020,1084,45020,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,42065.0
2020-01-03,atm35000101,Izmir,12050,596,656,39845,42065,1252,42065,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,36565.0
2020-01-04,atm35000101,Izmir,6235,544,589,33990,36565,1133,36565,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,38545.0
2020-01-05,atm35000101,Izmir,28865,588,600,37035,38545,1188,38545,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,35720.0
2020-01-06,atm35000101,Izmir,23310,547,596,35035,35720,1143,35720,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,43195.0
2020-01-07,atm35000101,Izmir,1700,508,677,32305,43195,1185,43195,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000102,Izmir,39985,551,606,37065,37115,1157,37115,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,43180.0
2020-01-02,atm35000102,Izmir,24860,497,683,33860,43180,1180,43180,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,38925.0
2020-01-03,atm35000102,Izmir,14175,529,599,34560,38925,1128,38925,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,36150.0
2020-01-04,atm35000102,Izmir,12655,505,602,33330,36150,1107,36150,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,39890.0
2020-01-05,atm35000102,Izmir,8250,559,605,37340,39890,1164,39890,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,36790.0
2020-01-06,atm35000102,Izmir,36930,559,594,36440,36790,1153,36790,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,42980.0
2020-01-07,atm35000102,Izmir,22730,553,660,36375,42980,1213,42980,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000103,Izmir,29660,485,638,32235,43345,1123,43345,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,40245.0
2020-01-02,atm35000103,Izmir,31950,547,602,37485,40245,1149,40245,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,38970.0
2020-01-03,atm35000103,Izmir,28175,558,603,37210,38970,1161,38970,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,38960.0
2020-01-04,atm35000103,Izmir,16225,554,583,34450,38960,1137,38960,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,45355.0
2020-01-05,atm35000103,Izmir,5925,476,725,30855,45355,1201,45355,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,39235.0
2020-01-06,atm35000103,Izmir,31945,512,637,33660,39235,1149,39235,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,41055.0
2020-01-07,atm35000103,Izmir,25765,547,630,38270,41055,1177,41055,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000104,Izmir,24835,555,667,35200,41910,1222,41910,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,36040.0
2020-01-02,atm35000104,Izmir,15525,462,550,31855,36040,1012,36040,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,39865.0
2020-01-03,atm35000104,Izmir,9730,538,606,33445,39865,1144,39865,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,33450.0
2020-01-04,atm35000104,Izmir,8155,569,504,34150,33450,1073,33450,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,37875.0
2020-01-05,atm35000104,Izmir,6800,599,636,39865,37875,1235,37875,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,46145.0
2020-01-06,atm35000104,Izmir,0,555,689,36910,46145,1244,46145,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,43300.0
2020-01-07,atm35000104,Izmir,36130,573,661,39745,43300,1234,43300,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000105,Izmir,33705,446,623,29075,37710,1069,37710,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,38925.0
2020-01-02,atm35000105,Izmir,22300,485,602,29970,38925,1087,38925,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,39555.0
2020-01-03,atm35000105,Izmir,5955,574,646,36035,39555,1220,39555,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,46280.0
2020-01-04,atm35000105,Izmir,35070,555,766,35370,46280,1321,46280,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,43275.0
2020-01-05,atm35000105,Izmir,19775,582,647,36880,43275,1229,43275,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,37520.0
2020-01-06,atm35000105,Izmir,15545,583,618,39610,37520,1201,37520,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,38155.0
2020-01-07,atm35000105,Izmir,3825,529,617,35880,38155,1146,38155,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000106,Izmir,28620,513,601,32615,36655,1114,36655,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,40890.0
2020-01-02,atm35000106,Izmir,23730,649,611,41865,40890,1260,40890,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,36750.0
2020-01-03,atm35000106,Izmir,18870,624,586,39155,36750,1210,36750,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,37770.0
2020-01-04,atm35000106,Izmir,1030,435,615,25780,37770,1050,37770,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,38880.0
2020-01-05,atm35000106,Izmir,37150,549,640,35295,38880,1189,38880,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,39290.0
2020-01-06,atm35000106,Izmir,33925,444,646,31900,39290,1090,39290,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,38180.0
2020-01-07,atm35000106,Izmir,34290,626,604,42565,38180,1230,38180,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000107,Izmir,28770,555,650,36410,40840,1205,40840,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,39030.0
2020-01-02,atm35000107,Izmir,21480,581,639,36985,39030,1220,39030,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,43930.0
2020-01-03,atm35000107,Izmir,14085,616,668,39920,43930,1284,43930,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,42015.0
2020-01-04,atm35000107,Izmir,37765,533,639,33480,42015,1172,42015,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,41870.0
2020-01-05,atm35000107,Izmir,25345,466,654,31795,41870,1120,41870,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,44075.0
2020-01-06,atm35000107,Izmir,21070,612,629,40625,44075,1241,44075,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,40090.0
2020-01-07,atm35000107,Izmir,38855,535,615,32900,40090,1150,40090,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000108,Izmir,21900,512,729,34635,46055,1241,46055,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,42290.0
2020-01-02,atm35000108,Izmir,5410,568,656,33750,42290,1224,42290,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,37905.0
2020-01-03,atm35000108,Izmir,31950,549,652,34305,37905,1201,37905,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,42510.0
2020-01-04,atm35000108,Izmir,23305,593,646,39890,42510,1239,42510,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,40530.0
2020-01-05,atm35000108,Izmir,23960,568,589,36400,40530,1157,40530,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,40075.0
2020-01-06,atm35000108,Izmir,12780,487,613,32240,40075,1100,40075,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,40240.0
2020-01-07,atm35000108,Izmir,40305,593,615,37165,40240,1208,40240,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000109,Izmir,29565,591,628,37455,37130,1219,37130,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,41210.0
2020-01-02,atm35000109,Izmir,21740,474,619,29810,41210,1093,41210,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,35990.0
2020-01-03,atm35000109,Izmir,21820,648,578,44345,35990,1226,35990,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,32270.0
2020-01-04,atm35000109,Izmir,25855,601,552,41085,32270,1153,32270,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,47775.0
2020-01-05,atm35000109,Izmir,16710,673,739,44510,47775,1412,47775,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,40725.0
2020-01-06,atm35000109,Izmir,865,384,653,26050,40725,1037,40725,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,38070.0
2020-01-07,atm35000109,Izmir,30635,541,646,31970,38070,1187,38070,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm3500011,Izmir,40095,536,592,34010,37005,1128,37005,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,34605.0
2020-01-02,atm3500011,Izmir,49890,639,588,39935,34605,1227,34605,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,41895.0
2020-01-03,atm3500011,Izmir,36750,587,667,38395,41895,1254,41895,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,43575.0
2020-01-04,atm3500011,Izmir,40050,681,680,44755,43575,1361,43575,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,40555.0
2020-01-05,atm3500011,Izmir,28880,592,651,37335,40555,1243,40555,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,50490.0
2020-01-06,atm3500011,Izmir,5215,473,731,31710,50490,1204,50490,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,38410.0
2020-01-07,atm3500011,Izmir,11435,634,572,40530,38410,1206,38410,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000110,Izmir,21650,511,704,32015,46050,1215,46050,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,42250.0
2020-01-02,atm35000110,Izmir,6695,639,651,40890,42250,1290,42250,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,35200.0
2020-01-03,atm35000110,Izmir,12990,627,593,41480,35200,1220,35200,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,44135.0
2020-01-04,atm35000110,Izmir,26400,396,681,25045,44135,1077,44135,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,39180.0
2020-01-05,atm35000110,Izmir,14290,482,584,32250,39180,1066,39180,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,43090.0
2020-01-06,atm35000110,Izmir,5155,568,638,34745,43090,1206,43090,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,41870.0
2020-01-07,atm35000110,Izmir,27970,560,661,35770,41870,1221,41870,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000111,Izmir,26375,502,647,32940,43225,1149,43225,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,38435.0
2020-01-02,atm35000111,Izmir,16030,493,629,31115,38435,1122,38435,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,39965.0
2020-01-03,atm35000111,Izmir,15895,678,615,44920,39965,1293,39965,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,39870.0
2020-01-04,atm35000111,Izmir,5575,643,654,37495,39870,1297,39870,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,40850.0
2020-01-05,atm35000111,Izmir,34035,562,651,35750,40850,1213,40850,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,36785.0
2020-01-06,atm35000111,Izmir,20680,475,597,30340,36785,1072,36785,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,41620.0
2020-01-07,atm35000111,Izmir,10680,563,646,37500,41620,1209,41620,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000112,Izmir,27940,604,578,38130,40485,1182,40485,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,45980.0
2020-01-02,atm35000112,Izmir,8675,513,713,32550,45980,1226,45980,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,35240.0
2020-01-03,atm35000112,Izmir,5000,538,531,37120,35240,1069,35240,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,39920.0
2020-01-04,atm35000112,Izmir,0,526,627,34470,39920,1153,39920,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,39585.0
2020-01-05,atm35000112,Izmir,35325,556,650,36545,39585,1206,39585,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,41545.0
2020-01-06,atm35000112,Izmir,33485,547,666,36340,41545,1213,41545,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,44695.0
2020-01-07,atm35000112,Izmir,19335,552,671,34580,44695,1223,44695,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm35000113,Izmir,33200,570,691,36645,46145,1261,46145,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,42775.0
2020-01-02,atm35000113,Izmir,34430,667,685,44715,42775,1352,42775,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,33935.0
